Timestamp,Aimag,Title (100),Title Korean (100),Description (255),Description Korean (255),About,About Korean,Cover Image (Link),Thumbnail Image (Link)
1/23/2023 7:01:26,Bayan-Ölgii,Баян-Өлгий ,바양울기 아이막,"Аймгийн төв Өлгий хот бөгөөд Улаанбаатар хотоос 1636 километр зайтай. Нутаг дэвсгэрийн хэмжээ нь 45.8 мянган хавтгай дөрвөлжин километр.  Хүн амын тоо 88056. Малын тоо толгой 2010 оны дүнгээр 1126900. Тус аймаг нь 1940 онд байгуулагдсан. Хүн амын ихэнх нь казакууд бөгөөд Монгол овгийн урианхай, тува ястнууд амьдардаг. Хамгийн баруун захад Монгол Алтайн уулсын бүсэд далайн төвшнөөс дээш 1301-4374 метрийн өндөрт оршино. Баруун талаараа Алтайн нурууны хяр дагаж БНХАУ-тай 450 километр, хойт талаараа Сийлхэмийн нуруу дагаж ОХУ-тай 225 километр хиллэдэг. Өндөрлөг газар оршдог учраас уур амьсгал ерөнхийдөө сэрүүн байдаг. Даян, Хотон, Хорго гэх мэт цэнгэг уст 80 гаруй нууртай. Ховд, Цагаан, Согоот, Ёлт гэх мэт 100 гаруй гол горхи, 200 гаруй булаг шандтай. Ховд гол нь 506 километр үргэлжилдэг. Толбо, Ачит нуур нь загас агнуурын нөөцтэй.","1940년에 설립되었고 중심지는 울기시로 울란바토르에서 1636km 떨어져 있다. 아이막 크기는 총 45.800km2 이며, 2015년 통꼐로 의하면 인구는 100.189만명이다. 대부분 카자크족이 살고 있다. 몽골의 가장 서쪽으로 알타이산맥에 속하며. 해발 1.301-4.374m 에 위피한다. 서쪽으로 중국과 450km로 경계하여, 북쪽으로 스을헴 산맥따라 러시아와 225km로 접한다.  ",,,https://drive.google.com/file/d/1g_GSsX4c1oKZifUEnE-joJDi5Y_KzTuk/view?usp=share_link,https://drive.google.com/file/d/1tMtmHPslOZXT1dGh-78gwHCwzWHlZ6BV/view?usp=share_link
1/23/2023 7:09:53,Arkhangai,Архангай аймаг,아르항가  아이막,"Аймгийн төв нь Цэцэрлэг хот бөгөөд Улаанбаатар хотоос 480 километр зайтай. Нутаг дэвсгэрийн хэмжээ 55.3 мянган хавтгай дөрвөлжин километр. Засаг захиргааны 19 сум, 99 багтай, 93159 хүн амтай. Улсын мал тооллогын 2011 оны дүнгээр малын тоо толгой 2679200 тоологдож улсад 2 дугаар байранд орсон бөгөөд 196100 адуу, 302000 үхрийн тоогоор улсад тус бүр 2 дугаарт, 1327500 хонь тоолуулж улсад гуравдугаарт орсон байна. 
1923 онд засаг захиргааны өөрчлөлт хийж Сайн ноён хан аймгийн суурин дээр Цэцэрлэгмандал уулын аймгийг байгуулжээ. 1931 онд 71 сум, 16 хошуутай байсан тус аймгийг 35 сумтай Архангай аймаг болгожээ.
Далайн төвшнөөс дээш дунджаар 2414 метр. Хамгийн өндөр цэг нь 3539 метр өндөр Харлагтайн сарьдаг уул. Хамгийн нам дор цэг нь 1290 метр өндөр Орхон Тамирын бэлчир юм. Хойд талаараа Хөвсгөл аймагтай, зүүн талаараа Булган аймагтай, өмнө талаараа Өвөрхангай аймагтай, баруун хойд талаараа Завхан аймагтай тус тус хиллэдэг. Суварга хайрхан, Харлагтайн сарьдаг, Загастайн гялгар, Цагаан асгат, Ноён хангай, Хан-Өндөр, Цогт сүмбэр зэрэг тэнгэр баганадсан олон уулс байхаас гадна Бугат, Тарвагатай, Гичгэнэ, Хайрхандаваа, Булган зэрэг ой модоор хучигдсан олон уул нурууд сунаж тогтсон.
Тамир, Орхон, Хануй, Хүнүй, Чулуут, хойд урд Тэрх, Суман, Гичгэнэ, Согоот, Цэнхэр зэрэг 844 түргэн урсгалт голууд урсдаг. Тэрхийн цагаан, Өгий, Дөрөө, Холбоо, Хөх, Цайдам, Дуут, Хөдөө зэрэг 188 нуур цөөрөмтэй. Хадат, Үүртийн тохой, Мухар хужирт, Цэнхэр, Шивэрт, Улаан эрэг, Бор тал, Цагаан сүм, Чулуут, Бумбат зэрэг 50 гаруй халуун хүйтэн рашаануудтай.
Аймгийн хэмжээнд ашигт малтмал бүрэн судлагдаагүй хэдий ч нүүрс, шатдаг занар, төмрийн болон зэсийн хүдэр, марганц, болор, хүрмэн чулууны баялаг нөөцтэй.
",아르항가 아이막의 중심인 체체를렉시는 울란바토르에서 463km 떨어져 있다. 그 영토 크기는 55.300km2. 행정구역으로는 19솜과 99박으로 나뉜다. 2015년 통계에 의하면 인구는 92.059만명이다. ,,,https://drive.google.com/drive/folders/1QDy8M1vkOS1fjHOGHWmec0CfMfMCywBA,https://drive.google.com/drive/folders/1QDy8M1vkOS1fjHOGHWmec0CfMfMCywBA
1/24/2023 5:31:46,Bayankhongor,Баянхонгор,바양헝거르 아이막,"Монгол улсын төвд орших бөгөөд  аймгийн төв нь Улаанбаатараас 630 километр зайтай оршино. Нутаг дэвсгэрийн хэмжээ 116 мянган хавтгай дөрвөлжин километр. 2010 оны дүнгээр хүн амын тоо 76085, малын тоо толгой 1963000 бөгөөд 30100 тэмээгээр, 1213300 ямаагаар улсад тус бүр хоёрт орсон. Засаг захиргаа, нутаг дэвсгэрийн нэгжийн хувьд 20 сум, 101 багтай.Алтай, Хангайн нуруунд 1909-1958 онд зургаагаас дээш баллын газар хөдлөлт зургаан удаа гарч, 1957 онд Их богд ууланд 11 балл газар хөдөлсөн бөгөөд Орог нуур 1890-1986 онд зургаан удаа ширгэж байжээ.Алт, зэс, болор, жонш, гялтагануур, гантиг, боржин, шөрмөсөн чулуу, хар хүрэн нүүрс зэрэг ашигт малтмал, төрөл бүрийн шороон будаг, сайн чанарын шавар, шохойн чулуу гэх мэт барилгын материал, түүхий эдээр нэн баялаг.

","울란바토르에서 630km 떨어져 있다. 아이막 크기는 116.000km2이고 2018년 통계로 인구는 88,300만명이다. 본 아이막은 금,구리,수정,형석,대리석,화강암,석탄 등의 여러 지하자원과 석회암 등 여러 건축 재료도 풍부하다. 전지역에 석기, 청동기 시대의 무기와 도구, 여러 장신구. 암각화, 기념비. 사슴돌, 석인상 분포하고 있다. ",,,"
https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z",https://drive.google.com/file/d/1p0fMyy3LWGxF1JXRQiqb-fdVTvqSzMxy/view?usp=share_link
1/25/2023 3:11:14,Govisümber,Говьсүмбэр ,고비숨베르 아이막,"Говьсүмбэр аймаг нь Монгол улсын төвийн бүсийн Зүүн өмнөд хэсэгт оршдог. Нутаг дэвсгэрийн хэмжээ нь 5540 хавтгай дөрвөлжин километр. Хойд талаараа Төв аймгийн Баян, Баянжаргалан сумдтай, зүүн баруун хойд хэсгээрээ Хэнтий аймгийн Дэлгэрхаан, Дархан сумдтай, өмнөд хэсгээрээ Дундговь аймгийн Даланжаргалан сумтай тус тус хиллэдэг. Аймгийн төв нь Чойр хот бөгөөд Улаанбаатар хотоос 223 километр зайтай. Баянтал, Шивээговь, Сүмбэр гэсэн гурван сумаас бүрдэнэ.","몽골 중앙 지역의 동부에 위치하는 이 아이막의 크기는 5.540km2로 몽골에서 가장 작은 아이막이다. 울란바토르에서 223km 떨어져있다. 본 아이막 서남부에 희귀한 약초와 야생염소, 산양 등 보기 드문 동물들이 서식하는 아름다운 산이 존재한다.   ",,,https://drive.google.com/file/d/1Zh-EuMemM25pSMqj3wwIcy7HO8pN1nab/view?usp=share_link,https://drive.google.com/file/d/1emGbhpzhe4kKdYYSvoJ5KD3PSu_s31HH/view?usp=share_link
1/25/2023 6:39:21,Darkhan-Uul,Дархан-уул,다르항올 아이막,"Дархан хотын анхны суурийн чулууг ""Бурхантын хөндий""-д 1961 оны 10-р сарын 17- ны өдөр тавьсан бөгөөд тус хотыг хуучин социалист орнууд болох Зөвлөлт Холбоот Улс, Болгар, Польш, Унгар, Чехословак, Герман зэрэг улсуудын техник, эдийн засгийн хамтын ажиллагааны тусламжтайгаар байгуулан хөгжүүлсэн юм. Мөн Япон улсын техник, эдийн засгийн хамтын ажиллагааны тусламжтай Дарханы төмөрлөгийн үйлдвэр байгуулагдсан.Дархан хот нь Орхон-Сэлэнгийн сав газрын бүсэд багтдаг. Хараа голын эрэг Бурхантын хөндийд оршдог бөгөөд далайн түвшнээс дээш 700 м-ийн өндөрт байрласан ба 327.5 мянган га газар нутагтай, эрс тэс уур амьсгалтай. Улаанбаатар хотоос 219км зайд оршино. ","울란바토르 시 다음으로 큰 도시며 수도에서 223km 떨어져 있다. 아이막 크기는 327.500헥타르이다. 다르항 도시를 1961년 구소련 , 체코, 동독 등의 지원으로 설립하였다. 교통,통신,전력 등 기반산업이 비교적 발전한 산업, 문화, 교육과 과학의 중심지 중의 하나이다. 뿐만 아니라 건축자재 원료와 석탄, 금,철광석 등 지하자원이 풍부하다. ",,,,https://drive.google.com/file/d/1rWg23W-KbhETgKiqTTVqQpoe_TP9V1z1/view?usp=share_link
1/25/2023 8:05:51,Dornogovi,Дорноговь аймаг,더른고비 아이막,"Дорноговь аймаг нь 1931 онд байгуулагдсан бөгөөд 14 сум, 64 багтай. Нутаг дэвсгэрийн хэмжээ 109 мянган хавтгай дөрвөлжин километр. Дорноговь аймаг Монгол орны зүүн өмнөд хязгаарт Өмнөговь, Дундговь, Говьсүмбэр, Хэнтий, Сүхбаатар аймгуудтай хил залган оршдог. БНХАУ-тай 600 км-ээр хиллэдэг. Хойд, урд хоёр гүрнийг холбосон, төвийн бүсийн хөгжлийн гол тэнхлэг болсон төмөр зам дайран өнгөрдөг. Энэ замын дагуу тус аймгийн бүх сумын 42,8 хувь, хүн амын 61 хувь нь оршин сууж байна. Аймгийн төв Сайншанд нь улсын нийслэл Улаанбаатар хотоос 450км-т оршдог. ","더른고비아이막은 남고비를 비록한 다섯 아이막과 경계할 뿐만 아니라 중국과도 접한다. 아이막의 중심은 사잉샨드시이며 울란바타르에서 463KM 떨어져 있고 철도를 따라 위치한다. 구리,형셕,석탄, 석회암,비금속, 금, 은 등 38종류의 지하자원으로 풍부하다. ",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/25/2023 9:09:42,Dornod,Дорнод аймаг,더르너드 아이막,"Дорнод аймаг Монгол орны хамгийн дорно зүгт оршдог. Улаанбаатараас 655 километр алслагдсан бөгөөд аймгийн нутаг далайн төвшнөөс дээш 560-1300 метр өргөгдсөн ухаа гүвээ бүхий тал хээр юм. Хэрэглээний бүсчлэлээр зүүн бүст хамаарна. Умард талаараа ОХУ (Өвөр Байгалын хязгаар), дорнод талаараа БНХАУ (ӨМӨЗО-ы Хөлөнбуйр, Хянган, Шилийн гол) гэх хоёр улстай хил залгана. Улс дотор Сүхбаатар, Хэнтий хоёр аймагтай хаяална. Тэгш тал газар зонхилно. Тус аймгийн нутагт байх Хөх нуурын хотгор (д.т.д. 560 метр) Монгол орны хамгийн нам дор газар гэгддэг.","북쪽으로 러시아와의 치타도와  접하고 서남쪽으로 중국 내몽골 흘릉뷔르, 향강고 접한다. 지역 크기는 123.500km2이다. 2015년 통계에 의하면 인구는 76.476auddl rjwnsgksek. rkcnrdms 1.555.425마리로 집계되었다. 아이막의 중심지는 초이발상이고 울란바타로시에서 655km 떨어져 있다. 해발 560-1.300m이다. 남부에 메넹 초원, 탐삭, 마타드 등 드넓은 초원이 있다. 몽골의 가장 낮은 지대인 후흐호수는 해발 560m이다. 더르너드 아이막에는 여러 자연보호지역이 많다.  더르너드 아이막에는 석탄, 형석, 금, 볼프람, 구리, 수정, 철광석, 우라늄, 석회암, 소금 등 지하자원이 풍부하다. 기반사업이나 교통이 비교적 발달된 아이막이다.",,,https://drive.google.com/file/d/1iaG3widG542AO99yW2jExziSl2aJ-ikW/view?usp=share_link,https://drive.google.com/file/d/1A5oeyMk0gGq-d2yKvW_nLUebLpA9yto7/view?usp=share_link
1/26/2023 6:24:31,Dundgobi,Дундговь аймаг ,돈드고비 아이막,"Дундговь аймгийн төв нт  Мандалговь хот бөгөөд Засаг захиргаа, нутаг дэвсгэр: 15 сум, 66 багтай. Улаанбаатар хотоос 270 км, Өмнөговь,  Төв аймаг, Говьсүмбэрь Дорноговь, Өвөрхангай аймгуудтай хиллэдэг. 
Газар нутаг: 7469.0 мянган га хэмжээтэй нутаг дэвсгэрийн хэмжээгээр Монгол улсын нийт нутаг дэвсгэрийн 4,5% эзлэдэг 
Дэд бүтэц: Аймгийн төв Сайнцагаан сум нь Хулд, Луус, Дэлгэрцогт сум болон Өмнөговь аймаг, Улаанбаатар хоттой хатуу хучилттай замаар холбогдсон. Бусад сум, аймгуудтай орон нутгийн чанартай замаар холбогдсон. Аймгийн төв болон сумын төв эрчим хүчний нэгдсэн систем, бүх үүрэн телефоны сүлжээнд холбогдсон.
Уур амьсгал:  Жилийн 4 улиралтай. Агаарын температурын дундаж хэмжээ өвлийн 11 сараас 03 сард -16 - -19 градус, зуны 04 сараас 06 сард +17 - +21 градус, жилд орох тунадасны хэмжээ 95-150 мм, жилд нартай өдрийн тоо олон.
Газрын гадарга: Тэгш тал газрын хамгийн өндөр нь далайн түвшнээс дээш 1530 м, хамгийн нам нь 980, хамгийн өндөр Дэлгэрхангай уул д.т.д 1913 м өндөр өргөгдсөн.
Эртний далайн ёроолын үлдэц бүхий Цагаан суварга, Морин толгойн цав, Өөш манхан зэрэг өвөрмөц тогтоцтой байгалийн шавар цав элсэн манхан, Их газрын чулуу, Бага газрын чулуу зэрэг боржин чулуун уул, заг, хайлаасан төгөл, Олдох, Гурван төгрөг, Эргэнэг, Хаяа, Нэмнээ, Номгон, Хайрхан, Загийн ус зэрэг үзэсгэлэнт газруудтай.","돈드고비    아이막은 울란바토르에서 260km 떨어져 있다. 아이막의 크기는 74.700km2 이다.  판석묘, 옛 사원터, 비석 등 유적지가 많다. 석탄, 형석, 하얀 주석, 아연, 석고, 철,금,은, 우라늄, 자연산 페인트 등 33종류의 지하자원이 있다. ",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/26/2023 7:07:27,Zavkhan,Завхан ,잡항 아이막,"Улаанбаатар хотоос 957км зайд орших Завхан аймаг нь Монгол улсын баруун хойд хэсэгт дорнод уртрагийн 930 16'-аас 990 12', хойд өргөргийн 460 33'-аас 500 23' хооронд оршдог. Хойноос урд хүртэл 610 км, баруунаас зүүн хүртэл 520 км зайтай, уудам дэлгэр 82.5 мянган км² нутаг дэвсгэртэй. Завхан аймаг эх орныхоо баруун хойд хэсэгт буюу Хангайн нурууны өндөрлөгийн баруун хэсэг, Их нууруудын хотгорын зүүн, Монгол Алтайн нурууны салбар уулсын хойд хэсэгт оршдог. Завхан аймгийн нутаг дэвсгэр нь Монгол орны дундаж өндрөөс 500 метр орчим илүү өндөрлөг газар байрлана.","몽골 서북부의 위치하며 면적은 82.500km2 이다. 울란바토르에서 984km 떨어져 있다.만년설산인 어트겅텡게르,울랑할그 등 아름다운 관광지로서 암각화나 삿ㄹ, 18세기 군대성벽과 상업도시, 사원터, 농사 흔적 등이 보이느는 100여 문화재가 있어 솜과 아이막이 국가 보호를 받고 있다. ",,,https://drive.google.com/file/d/1Z91LdaP0WZAjrcu53RunVD2mQmZFN-0Q/view?usp=share_link,https://drive.google.com/file/d/1Z91LdaP0WZAjrcu53RunVD2mQmZFN-0Q/view?usp=share_link
1/26/2023 9:04:26,Orkhon,Орхон Уул аймаг ,어르헝 아이막,"Улаанбаатар хотоос 228 км зайд орших Орхон аймаг нь Булган аймгийн нутагт Эрдэнэт хот нэртэйгээр 1976 онд байгуулагдсан. 1994 онд Орхон аймаг болж Баян-Өндөр, Жаргалант сумтайгаар өөрчлөн байгуулагдсан. Аймгийн төв нь Эрдэнэт хот Улаанбаатар хотоос 381 километр зайтай. Эрдэнэтийн их бүтээн байгуулалт “Эрдэнэтийн овоо”-ны арын хөндийд 1973 оноос эхэлсэн түүхтэй бөгөөд 1974 онд Булган аймгийн “Эрдэнэт” хороо нэртэйгээр анх байгуулагдсан байна.
Хүн амын өсөлтийн хурдыг харгалзан 1976 онд Эрдэнэт хот болгон зохион байгуулснаар Монгол улсын гурав дахь том хот болон хөгжиж эхэлсэн. Анх 1655 өрхийн 7.8 мянган хүн амтайгаар байгуулагдаж байжээ. Одоо 6 бичил хороололтой, дэд бүтэц хөгжсөн аж үйлдвэрийн томоохон район болжээ.
Газар нутгийн хэмжээ 844 хавтгай дөрвөлжин километр. 2010 оны байдлаар хүн амын тоо 90700, малын тоо толгой 169200. Эрдэнэтийн овоог тахиж ирсэн Ламын гэгээний хийдийн үйл ажиллагааг сэргээснээс гадна 10 шахам сүм хийдэд буддын шашны үйл ажиллагаа явуулж байна.
Уулын баяжуулах “Эрдэнэт” үйлдвэр, 1.2 сая хавтгай дөрвөлжин километр талбай бүхий хивс үйлдвэрлэх “Эрдэнэт хивс”,  “Эрдэнэт хүнс”, “Эрдмин”, “Эрдэнэт металл”, ноос ноолуур боловсруулах “Эрдэнэт ноолуур”, “Петролиум продакшн”, “Дулааны цахилгаан станц” зэрэг 20 гаруй үйлдвэр үйл ажиллагаа явуулж байна.","울란바토르에서 381km 떨어져 있다. 아이막의 면적은 844km2 이다. 아이막 중심인 에르데네트시 시에 카페트,식품,금속, 케시미어 공장 등 약 20여 공장이 운영되고 있다. 또한 라마게겡사원을 비롯해서 10여 사원 있다. ",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/26/2023 9:22:26,Övörkhangai,Өвөрхангай аймаг ,우브르항가이 아이막,"Улаанбаатараас 430 километр зайд орших Өвөрхангай  аймаг нь 1931 онд байгуулагджээ. Нутаг дэвсгэрийн хэмжээ 63.5 мянган хавтгай дөрвөлжин километр. 2010 оны байдлаар хүн амын тоо 101314, малын тоо толгой 2010600. Ямааны тоогоор улсад гуравдугаарт оржээ. Засаг захиргааны нэгжийн хувьд 19 сум, 105 багтай.  Нутгийн хойд хэсэгт Хангайн нурууны салбар уулс, өмнө хэсгээр нь Алтайн нурууны салбар уулстай, нутаг дэвсгэр нь хангай, тал хээр, говийн бүсэд хуваагдана.
Хужиртын халуун рашаанаас гадна Бүрд, Бат-Өлзий, Хархорин, Хужирт суманд нийт 20 гаруй жуулчны бааз ажилладаг.  Хархорин хотын орчмын түүх‎эн байгууламж, түүхт газрууд, д‎элхийн өв Орхоны хөндийн дурсгалт зэрэг нь нийт 121967 га газрыг ‎эзлэн оршиж байна. Эн‎э газар нутаг нь Өвөрхангай аймгийн Бат-Өлзий, Хужирт, Хархорин сум, Архангай аймгийн Хотонт, Хашаат сумдын нутагт хамаарах бөгөөд соёлын дурсгалт газрын ангиллаар 2004 онд д‎элхийн өвд бүртг‎эгдсэн.
Тус аймагт Хөшөө цайдам дахь Түрэгийн дурсгалууд, Ордубалык буюу Хар балгас, Хархорин хотын туурь, Эрдэнэзуу хийд, Төвхөн хийд, Дойт толгойн ордны туурь, Хутаг уулын булш, Талын дөрвөлжин дэх эртний хотын туурь, Хар бондгорын эртний хотын туурь, Баянголын амны эртний хотын туурь, Мэлхийт толгойн ордны туурь, Захын булгийн хэрэмний туурь, Гүмбийн дэнжийн буган хөшөө, Нарийний амны дөрвөлжин булш, Мэлхий чулуун дурсгал, Майхан толгойн Хүннүгийн булш, Ар бөөрөгийн эртний булшууд, Хужиртын амны ордны туурь, Орхоны хөндий дэх эртний булш, Ширээт уулын буган чулуу, Шанхын хийд, Шунхлай уулын булш зэрэг түүх соёлын ул мөр бүхий газрууд их байдаг.
Өвөрхангай аймгийн 7 гайхамшигаар Арц богд уул, Хужиртын рашаан, Монгол түмний морины их шүтээн, Хархорум хот, Эрдэнэзуу хийд, Тэвш уул, Төвхөн хийд зэрэг газрууд тодорчээ.",울란바토르에서 430km 떨어져 있다.  아이막의 면적은 63.500km2 이다. 하르허링 도시 주변 총 121.967ha 유적지를 문화재로 국가가 보호하고 있으며 2004년 유네스코 세계문화유산으로 등재되었다. ,,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/27/2023 5:42:48,Ömnögovi,Өмнөговь ,남고비 아이막,"Монголын хамгийн том газар нутагтай аймаг бөгөөд далайн төвшнөөс дээш 1406 метр өндөрт оршдог. Аймгийн төв Даланзадгад хот Улаанбаатараас 553 километр зайтай. Нутаг дэвсгэрийн хэмжээ 165.4 мянган хавтгай дөрвөлжин километр. 2010 оны байдлаар хүн амын тоо 61314,  малын тоо толгой 1014300. Тэмээний тоогоор улсад тэргүүлдэг бөгөөд 83800 тэмээтэй. Өмнөговь аймаг 1931 онд байгуулагджээ.

Алдарт Говь гурван сайхан уул, Борзон, Галба, Зээмэг, Заг, Сүүж гэх мэт олон зуун километр өргөн их говиудтай. Хамгийн дулаан бүсүүдийн нэг, мөн Монгол орны хамгийн их салхилдаг газар. Өмнөговь аймаг нүүрс, зэс, алтны том ордуудтай. 250 гаруй төрлийн говийн ургамал ургадаг.","울란바토르에서 553km 떨어져 있다. 몽골의 가장 크고, 바람이 가장 많고, 가장 따뜻한 지역으로 알려져 있다. 아이막 면적은 165.400km2 이다. 가장 유명한것으로는 공룡 뼈 발굴이 제일 많았다고 해서공룡의 고향이라고도 불린다. 주 가축은 낙타이며 총 118.584 마리로 전국에서 1위 이다. ",,,https://drive.google.com/file/d/1Glz6-9U_iy_9g8XD_D2prewaQaEgKWvA/view?usp=share_link,https://drive.google.com/file/d/1RMcVQIHFblkBcpSq5DYwaUCzujV-7NAD/view?usp=share_link
1/27/2023 8:40:23,Sükhbaatar,Сүхбаатар,수흐바타르 아이막,"Аймгийн төв Баруун-Урт хот нь Улаанбаатар хотоос 560 километр зайтай. Нутаг дэвсгэрийн хэмжээ 82.3 мянган хавтгай дөрвөлжин километр. 2010 оны байдлаар хүн амын тоо 51334, малын тоо толгой 1979800. Тус аймаг нь урд талаараа БНХАУ-тай 485 километр, баруун талаараа Дорноговь аймагтай 165 километр, хойт талаараа Хэнтий аймагтай, зүүн хойт талаараа Дорнод аймагтай тус тус хиллэдэг. Аймгийн нутаг Дорнод Монголын тэгш талын өмнөд хэсгийн үргэлжлэл бөгөөд тал хээрийн бүсэд багтдаг. Нутгийн ихэнх хэсэг нь далайн төвшнөөс дээш 1000-1200 метр өндөрт оршдог. Хамгийн өндөр цэг нь далайн төвшнөөс дээш 1778 метрт өргөгдсөн Шилийн богд уул. ",울란바토르에서 560km 떨어져 있다. 아이막의 면적은 82.300km2 이다. 남쪽으로 중국국경과 485km로 접한다. 평균적으로 해발 1.000-1.200m이다. 물이 별로 없으나 20여 개의 작은 강과 샘이 있다. ,,,https://drive.google.com/file/d/194X6DVEC8wJtu8N2ih9nlrgqclW2TJe-/view?usp=share_link,https://drive.google.com/file/d/17mfGydBeCpo7wK_uphaE_6LsAaGAcixx/view?usp=share_link
